ID,Fecha,Latitud,Longitud,Departamento,Provincia,Distrito
SLIP-329,27/12/2020,-11.685853,-76.369237,LIMA,HUAROCHIRI,CARAMPOMA
SLIP-330,28/12/2020,-13.221645,-70.621141,CUSCO,QUISPICANCHI,CAMANTI
LGC-1,4/01/2014,-11.6953,-71.9165,MADRE DE DIOS,MANU,FITZCARRALD
LGC-2,5/04/2010,-12.9655,-71.4216,CUSCO,PAUCARTAMBO,KOSÑIPATA
LGC-3,9/01/2011,-12.3325,-73.1219,CUSCO,LA CONVENCION,ECHARATE
LGC-4,15/02/2011,-13.8158,-70.2659,PUNO,CARABAYA,ITUATA
LGC-5,2/03/2009,-13.917,-70.233,PUNO,CARABAYA,ITUATA
LGC-6,15/02/2011,-14.0731,-72.9562,APURIMAC,ABANCAY,CIRCA
LGC-7,23/01/2010,-13.2122,-72.3902,CUSCO,URUBAMBA,MACHUPICCHU
LGC-8,5/04/2010,-13.1171,-71.5841,CUSCO,PAUCARTAMBO,KOSÑIPATA
LGC-9,9/03/2012,-15.746,-73.8721,AREQUIPA,CARAVELI,CHAPARRA
LGC-10,4/10/2008,-14,-70.4,PUNO,CARABAYA,MACUSANI
LGC-11,14/04/2009,-7.9589,-77.5239,LA LIBERTAD,PATAZ,PARCOY
LGC-12,17/10/2012,-6.0082,-77.2506,SAN MARTIN,RIOJA,RIOJA
LGC-13,26/03/2010,-14.1232,-70.1217,PUNO,CARABAYA,USICAYOS
LGC-14,23/01/2010,-13.1809,-72.5273,CUSCO,URUBAMBA,MACHUPICCHU
LGC-15,15/02/2012,-8.5348,-78.0834,ANCASH,PALLASCA,SANTA ROSA
LGC-16,29/12/2009,-15.345,-71.489,AREQUIPA,CAYLLOMA,TISCO
LGC-17,16/12/2009,-12.15,-76.2333,LIMA,HUAROCHIRI,SANGALLAYA
LGC-18,9/01/2011,-8.6252,-77.8341,ANCASH,CORONGO,YANAC
LGC-19,1/04/2010,-9.7996,-76.1038,HUANUCO,HUANUCO,CHINCHAO
LGC-20,19/11/2014,-9.3884,-77.1255,ANCASH,HUARI,MASIN
LGC-21,3/04/2011,-13.5138,-71.9911,CUSCO,CUSCO,CUSCO
LGC-22,20/01/2010,-13.1409,-74.2155,AYACUCHO,HUAMANGA,JESUS NAZARENO
LGC-23,23/01/2010,-13.2873,-72.1137,CUSCO,URUBAMBA,URUBAMBA
LGC-24,23/01/2010,-13.3342,-72.0826,CUSCO,URUBAMBA,HUAYLLABAMBA
LGC-25,18/03/2012,-13.6291,-72.8718,APURIMAC,ABANCAY,ABANCAY
LGC-26,16/12/2009,-11.9181,-76.6664,LIMA,HUAROCHIRI,SANTA EULALIA
LGC-27,28/02/2010,-15.2086,-72.8973,AREQUIPA,LA UNION,COTAHUASI
LGC-28,7/11/2010,-9.9241,-76.2488,HUANUCO,HUANUCO,HUANUCO
LGC-29,19/01/2009,-11.1295,-75.3587,JUNIN,CHANCHAMAYO,SAN RAMON
LGC-30,15/02/2009,-11.9374,-76.701,LIMA,LIMA,LURIGANCHO
LGC-31,20/01/2014,-12.432,-75.0369,HUANCAVELICA,HUANCAVELICA,CUENCA
LGC-32,2/04/2010,-10.1258,-76.2043,HUANUCO,AMBO,AMBO
LGC-33,18/03/2012,-13.5168,-73.7262,APURIMAC,CHINCHEROS,CHINCHEROS
LGC-34,23/01/2010,-12.7823,-74.9756,HUANCAVELICA,HUANCAVELICA,ASCENSION
LGC-35,28/01/2010,-9.3584,-77.5984,ANCASH,CARHUAZ,ANTA
LGC-36,17/10/2010,-13.3042,-72.1167,CUSCO,URUBAMBA,URUBAMBA
LGC-37,16/12/2009,-11.9009,-76.6643,LIMA,HUAROCHIRI,SANTA EULALIA
LGC-38,17/12/2009,-13.1583,-74.2239,AYACUCHO,HUAMANGA,AYACUCHO
LGC-39,16/12/2009,-11.9431,-76.7094,LIMA,LIMA,LURIGANCHO
LGC-40,6/02/2010,-13.4547,-72.2556,CUSCO,ANTA,ZURITE
LGC-41,9/02/2010,-13.4547,-72.2556,CUSCO,ANTA,ZURITE
LGC-42,14/04/2009,-7.8058,-77.7172,LA LIBERTAD,SANCHEZ CARRION,COCHORCO
LGC-44,5/03/2008,-9.2114,-76.1311,HUANUCO,HUAMALIES,MONZON
LGC-45,2/02/2007,-13.268,-72.4005,CUSCO,URUBAMBA,OLLANTAYTAMBO
LGC-46,3/01/2007,-10.3838,-75.4267,PASCO,OXAPAMPA,PALCAZU
LGC-47,2/07/2010,-13.3219,-72.2308,CUSCO,URUBAMBA,MARAS
LGC-48,7/03/2009,-16.3556,-71.4842,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE
LGC-49,11/04/2008,-9.2965,-77.6613,ANCASH,CARHUAZ,CARHUAZ
LGC-51,10/12/2014,-15.6929,-71.8688,AREQUIPA,CAYLLOMA,CABANACONDE
